Title	Year	Rating	Runtime	Score	Votes	Famous	RatingGroup
Love Actually	2003	R	135	7.6	491920	TRUE	Other
Spirited	2022	PG-13	127	6.6	34304	TRUE	PG
How the Grinch Stole Christmas	2000	PG	104	6.3	259796	TRUE	PG
Elf	2003	PG	97	7.1	279415	TRUE	PG
The Grinch	2018	PG	85	6.3	74763	TRUE	PG
The Polar Express	2004	G	100	6.6	215021	TRUE	G
Klaus	2019	PG	96	8.1	157023	TRUE	PG
Last Christmas	2019	PG-13	103	6.5	81506	TRUE	PG
A Christmas Carol	2009	PG	96	6.8	119620	TRUE	PG
The Santa Clause 2	2002	G	104	5.7	60045	TRUE	G
Four Christmases	2008	PG-13	88	5.7	74951	TRUE	PG
Christmas with the Kranks	2004	PG	99	5.4	52496	TRUE	PG
A Bad Moms Christmas	2017	R	104	5.6	53394	TRUE	Other
The Christmas Chronicles	2018	PG	104	7	76283	TRUE	PG
Bad Santa	2003	R	92	7.1	146956	TRUE	Other
Office Christmas Party	2016	R	105	5.9	82565	TRUE	Other
Deck the Halls	2006	PG	93	5	30081	TRUE	PG
The Santa Clause 3: The Escape Clause	2006	G	92	4.8	39722	TRUE	G
This Is Christmas	2022	NA	111	6.9	1183	FALSE	Other
Arthur Christmas	2011	PG	97	7.1	61975	TRUE	PG
Fred Claus	2007	PG	116	5.6	45264	TRUE	PG
Love Hard	2021	TV-MA	104	6.3	54441	TRUE	Other
Holidate	2020	TV-MA	104	6.1	68788	TRUE	Other
Happiest Season	2020	PG-13	102	6.6	42020	TRUE	PG
The Christmas Chronicles: Part Two	2020	PG	112	6	31909	TRUE	PG
Noelle	2019	G	100	6.3	23532	TRUE	G
Little Women	2019	PG	135	7.8	207248	TRUE	PG
Five More Minutes: Moments Like These	2022	TV-G	84	6.8	324	FALSE	G
8-Bit Christmas	2021	PG	97	6.7	18471	TRUE	PG
Nativity!	2009	PG	105	6.4	11417	TRUE	PG
Fatman	2020	R	100	5.9	26660	TRUE	Other
Home Sweet Home Alone	2021	PG	93	3.6	17995	TRUE	PG
Shazam!	2019	PG-13	132	7	340463	TRUE	PG
Iron Man 3	2013	PG-13	130	7.1	851729	TRUE	PG
Just Friends	2005	PG-13	96	6.2	120304	TRUE	PG
The Nutcracker and the Four Realms	2018	PG	99	5.6	34589	TRUE	PG
Surviving Christmas	2004	PG-13	91	5.4	25766	TRUE	PG
Home for Christmas	2019	TV-MA	29	7.7	15078	TRUE	Other
Jingle Jangle: A Christmas Journey	2020	PG	122	6.4	19376	TRUE	PG
Bad Santa 2	2016	R	92	5.6	26591	TRUE	Other
The Man Who Invented Christmas	2017	PG	104	7	17071	TRUE	PG
Rise of the Guardians	2012	PG	97	7.2	177997	TRUE	PG
A Merry Friggin' Christmas	2014	PG-13	88	5.1	7539	TRUE	PG
A Christmas Story 2	2012	PG	85	3.5	2715	TRUE	PG
The Gift of Peace	2022	TV-G	84	7.1	459	FALSE	G
Serendipity	2001	PG-13	90	6.8	114918	TRUE	PG
Angel Falls Christmas	2021	6	84	5	2989	TRUE	Other
A Christmas Miracle for Daisy	2021	AL	85	6	1939	TRUE	Other
This Christmas	2007	PG-13	117	6.3	9806	TRUE	PG
A Christmas Prince	2017	TV-PG	92	5.8	20427	TRUE	PG
A Christmas Horror Story	2015	Not Rated	99	5.8	11257	TRUE	Other
Time for Him to Come Home for Christmas	2022	TV-G	84	7.6	1035	FALSE	G
Santa's Slay	2005	R	78	5.3	10588	TRUE	Other
Dash & Lily	2020	TV-14	NA	7.5	19933	TRUE	Other
The Nativity Story	2005	PG	101	6.8	11902	TRUE	PG
A Christmas to Treasure	2022	TV-G	89	4.8	294	FALSE	G
The Best Man Holiday	2013	R	123	6.6	16148	TRUE	Other
A Very Harold & Kumar Christmas	2011	R	90	6.2	70631	TRUE	Other
Sister Swap: A Hometown Holiday	2021	TV-G	83	6.3	1199	FALSE	G
Silver Linings Playbook	2012	R	122	7.7	711659	TRUE	Other
Christmas Inheritance	2017	AL	104	5.7	12413	TRUE	Other
Single and Ready to Jingle	2022	TV-PG	90	5.6	251	FALSE	PG
The Knight Before Christmas	2019	TV-PG	92	5.6	18856	TRUE	PG
Next Stop, Christmas	2021	TV-G	84	7	2195	TRUE	G
The Princess Switch	2018	TV-PG	101	6.1	29043	TRUE	PG
Falling for Christmas	2016	TV-G	87	6.2	1494	TRUE	G
My Christmas Family Tree	2021	TV-G	84	7.6	1974	TRUE	G
A Very Country Christmas	2017	PG	84	6.1	1836	TRUE	PG
A California Christmas	2020	PG-13	106	5.8	10509	TRUE	PG
Sister Swap: Christmas in the City	2021	TV-G	84	5.9	863	FALSE	G
Almost Christmas	2016	PG-13	111	6.1	7198	TRUE	PG
A Big Fat Family Christmas	2022	TV-G	85	6.4	519	FALSE	G
Long Lost Christmas	2022	TV-G	84	6.8	639	FALSE	G
The Christmas Train	2017	TV-G	99	6.4	3046	TRUE	G
Too Close For Christmas	2020	G	88	5.7	2518	TRUE	G
Nativity 2: Danger in the Manger!	2012	Not Rated	105	5.3	4051	TRUE	Other
Crown for Christmas	2015	TV-G	86	6.9	5117	TRUE	G
An Unexpected Christmas	2021	TV-G	83	6.9	2145	TRUE	G
Christmas Under Wraps	2014	TV-G	88	6.2	5786	TRUE	G
The Flight Before Christmas	2015	TV-PG	88	5.9	1895	TRUE	PG
Operation Christmas Drop	2020	TV-G	95	5.8	12108	TRUE	G
Christmas with a Prince	2018	TV-PG	90	5.3	1850	TRUE	PG
Blending Christmas	2021	TV-PG	85	5.4	418	FALSE	PG
Christmas Is Canceled	2021	R	95	4.7	1321	TRUE	Other
Instant Family	2018	PG-13	118	7.3	108761	TRUE	PG
Saving Christmas Spirit	2022	NA	90	5.7	188	FALSE	Other
The Search for Santa Paws	2010	G	96	5.3	2941	TRUE	G
Christmas Made to Order	2018	TV-G	80	5.7	4637	TRUE	G
A Kindhearted Christmas	2021	AL	84	6.2	1382	TRUE	Other
Christmas on the Farm	2021	AL	86	5.2	695	FALSE	Other
A Cinderella Story: Christmas Wish	2019	PG	85	5.3	6923	TRUE	PG
A Christmas in Vermont	2016	TV-PG	86	5.5	1107	FALSE	PG
